Bet365_Names;Team (Dataset);Record ID;;;;
AS Eupen;AS Eupen;331;;;;
Anderlecht;RSC Anderlecht;332;;;;
SC Heerenveen;Heerenveen;334;;;;
PEC Zwolle;PEC Zwolle;335;;;;
FC Twente;Twente;336;;;;
FC Emmen;Emmen;337;;;;
Heracles Almelo;Heracles;338;;;;
Sparta Rotterdam;Sparta Rotterdam;339;;;;
FC Groningen;Groningen;340;;;;
RKC Waalwijk;RKC Waalwijk;341;;;;
VVV Venlo;VVV;342;;;;
AZ Alkmaar;AZ;343;;;;
Vitesse;Vitesse;344;;;;
PSV Eindhoven;PSV;345;;;;
Fortuna Sittard;Fortuna Sittard;346;;;;
ADO Den Haag;ADO Den Haag;347;;;;
Feyenoord;Feyenoord;348;;;;
Willem II;Willem II;349;;;;
Ajax;Ajax;350;;;;
FC Utrecht;Utrecht;351;;;;
Famalicão;FamalicÃ£o;352;;;;
Vitoria Guimarães;VitÃ³ria GuimarÃ£es;353;;;;
FC Porto;Porto;355;;;;
Santa Clara;Santa Clara;356;;;;
Moreirense;Moreirense FC;357;;;;
CD de Tondela;CD Tondela;358;;;;
Portimonense;Portimonense;359;;;;
S.C. Braga;Sporting Braga;360;;;;
Marítimo Funchal;CS MarÃ­timo;361;;;;
Benfica;Benfica;362;;;;
Boavista;Boavista FC;363;;;;
Farense;Farense;364;;;;
Gil Vicente;Gil Vicente;365;;;;
Paços Ferreira;PaÃ§os de Ferreira;366;;;;
Rio Ave;Rio Ave FC;367;;;;
Os Belenenses;CF Os Belenenses;368;;;;
Sporting Lisbon;Sporting CP;369;;;;
Çaykur Rizespor;Rizespor;370;;;;
Fatih Karagümrük;Fatih KaragÃ¼mrÃ¼k;371;;;;
Sivasspor;Sivasspor;372;;;;
Galatasaray A.Ş.;Galatasaray;373;;;;
Göztepe A.Ş.;Goztep;374;;;;
Ankaragücü;AnkaragÃ¼cÃ¼;375;;;;
Kayserispor;Kayserispor;376;;;;
Antalyaspor A.Ş.;Antalyaspor;377;;;;
Trabzonspor A.Ş.;Trabzonspor;378;;;;
Hatayspor;Hatayspor;379;;;;
Yeni Malatyaspor;Yeni Malatyaspor;380;;;;
Genclerbirligi;Genclerbirligi;381;;;;
Denizlispor;Denizlispor;382;;;;
Alanyaspor;Alanyaspor;383;;;;
Beşiktaş A.Ş.;BeÅiktaÅ;384;;;;
Erzurumspor;Erzurum BB;385;;;;
Kasımpaşa;KasÄ±mpaÅa;386;;;;
İstanbul Başakşehir;Ä°stanbul BaÅakÅehir;387;;;;
Gaziantep B.B.;Gaziantep;388;;;;
Fenerbahçe;FenerbahÃ§e;389;;;;
Konyaspor;Konyaspor;390;;;;
Aris Thessaloniki;Aris;391;;;;
PAOK Thessaloniki;PAOK;392;;;;
OFI Crete;OFI Crete;393;;;;
Atromitos Athens;Atromitos;394;;;;
Asteras Tripolis;Asteras Tripolis;395;;;;
Olympiakos Piraeus;Olympiakos;396;;;;
Panetolikos Agrinio;Panetolikos;397;;;;
Lamia 1964;Lamia;398;;;;
Volos NPS;Volos NFC;399;;;;
AEK Athens;AEK;400;;;;
;Larisa;401;;;;
Panathinaikos;Panathinaikos;402;;;;
Apollon Smyrnis;Apollon;403;;;;
PAS Giannina;Giannina;404;;;;
Macclesfield;Macclesfield;405;;;;
