Bet365_Names;Team (Dataset);Record ID;;;;
Greenock Morton;Greenock Morton;1422;;;;
Dorking Wanderers FC;Dorking Wanderers;1423;;;;
York City;York City;1424;;;;
Maidenhead United;Maidenhead United;1425;;;;
Maidstone United;Maidstone United;1426;;;;
Hamilton Academical;Hamilton Academical;1427;;;;
Ayr United;Ayr United;1428;;;;
Inverness CT;Inverness CT;1429;;;;
Arema;Arema;1430;;;;
Dalian Pro;Dalian Yifang;1431;;;;
Guangzhou City;Guangzhou R&F;1432;;;;
Wuhan Three Towns;Wuhan Three Towns;1433;;;;
Shanghai Shenhua;Shanghai Shenhua;1434;;;;
Persija Jakarta;Persija;1435;;;;
RANS Nusantara FC;Cilegon United;1436;;;;
Barito Putera;Barito Putera;1437;;;;
Al-Mokawloon Al-Arab;Al Mokawloon;1438;;;;
Ghazl El-Mehalla;Ghazl El Mehalla;1439;;;;
Ismaily;Ismaily SC;1440;;;;
Future FC;Coca-Cola;1441;;;;
Haras El Hodood;Haras El Hodood;1442;;;;
Ceramica Cleopatra;Ceramica Cleopatra;1443;;;;
National Bank of Egypt;National Bank of Egypt;1444;;;;
Smouha SC;Smouha SC;1445;;;;
ENPPI Club;ENPPI;1446;;;;
Al-Zamalek;Zamalek;1447;;;;
Al Ahly Cairo;Al Ahly;1448;;;;
El Daklyeh;El Daklyeh FC;1449;;;;
Pyramids FC;Pyramids FC;1450;;;;
Al-Masry Club;Al Masry;1451;;;;
Al-Ittihad Alexandria;Al Ittihad;1452;;;;
Tala'ea El-Gaish;El Geish;1453;;;;
Aswan FC;Aswan FC;1454;;;;
Pharco FC;Pharco;1455;;;;
Audax Italiano;Audax Italiano;1456;;;;
Curicó Unido;CuricÃ³ Unido;1457;;;;
Deportes Copiapó;CopiapÃ³;1458;;;;
Cobresal;Cobresal;1459;;;;
Everton de Viña del Mar;Everton VM;1460;;;;
Club Deportivo Garcilaso;Deportivo Garcilaso;1461;;;;
Unión Comercio;UniÃ³n Comercio;1462;;;;
Cusco FC;Real Garcilaso;1463;;;;
Colo Colo;Colo-Colo;1464;;;;
Universidad de Chile;Universidad Chile;1465;;;;
Union La Calera;UniÃ³n La Calera;1466;;;;
DPMM FC;DPMM FC;1467;;;;
Balestier Khalsa FC;Balestier Khalsa;1468;;;;
Tanjong Pagar United;Tanjong Pagar;1469;;;;
Tampines Rovers FC;Tampines Rovers;1470;;;;
Lion City Sailors;Home United;1471;;;;
Albirex Niigata FC (Singapore);Albirex Niigata S;1472;;;;
Geylang International;Geylang International;1473;;;;
Hougang United;Hougang United;1474;;;;
SK Beveren;Waasland-Beveren;1475;;;;
KRC Genk U23;KRC Genk II;1476;;;;
SK Deinze;KMSK Deinze;1477;;;;
Anderlecht U23;RSC Anderlecht II;1478;;;;
KSK Lierse Kempenzonen;Lierse Kempenzonen;1479;;;;
RE Virton;Excelsior Virton;1480;;;;
Lommel SK;Lommel United;1481;;;;
RWDM47;RWDM;1482;;;;
Club Brugge U23;Club Brugge II;1483;;;;
Standard de Liège U23;Standard LiÃ¨ge II;1484;;;;
FCV Dender EH;FCV Dender EH;1485;;;;
Magallanes;Magallanes;1486;;;;
Blackburn Rovers (W);Blackburn Rovers Ladies;1487;;;;
Birmingham (W);Birmingham City Women;1488;;;;
Lyon W;Olympique Lyonnais Women;1489;;;;
PSG W;PSG Women;1490;;;;
Charlton Athletic (W);Charlton Athletic Ladies;1491;;;;
Crystal Palace (W);Crystal Palace Ladies;1492;;;;
Chelsea W;Chelsea Women;1493;;;;
Wolfsburg W;Wolfsburg Women;1494;;;;
St. Louis City SC;St. Louis City;1495;;;;
Young Lions;Young Lions;1496;;;;
Baník Ostrava;BanÃ­k Ostrava;1497;;;;
1. Sk Prostejov;ProstÄjov;1498;;;;
FK Varnsdorf;Varnsdorf;1499;;;;
MFK Karviná;KarvinÃ¡;1500;;;;
SK Líšeň;LÃ­Å¡eÅ;1501;;;;
Dukla Praha;Dukla Praha;1502;;;;
Slavia Praha B;Slavia Praha U21;1503;;;;
Opava;Opava;1504;;;;
MFK Vyškov;VyÅ¡kov;1505;;;;
FC Vysocina Jihlava;VysoÄina Jihlava;1506;;;;
MFK Chrudim;Chrudim;1507;;;;
FK MAS Táborsko;TÃ¡borsko;1508;;;;
Sigma Olomouc B;Sigma Olomouc II;1509;;;;
FC Sellier & Bellot Vlašim;VlaÅ¡im;1510;;;;
Sparta Praha B;Sparta Praha II;1511;;;;
Příbram;PÅÃ­bram;1512;;;;
Teplice;Teplice;1513;;;;
Mladá Boleslav;MladÃ¡ Boleslav;1514;;;;
FK Pardubice;Pardubice;1515;;;;
Sparta Praha;Sparta Praha;1516;;;;
Vitória-BA;VitÃ³ria;1517;;;;
GAIS;GAIS;1518;;;;
Gefle IF;Gefle;1519;;;;
Hødd;HÃ¸dd;1520;;;;
Moss;Moss;1521;;;;
Mirassol-SP;Mirassol;1522;;;;
ABC-RN;ABC;1523;;;;
Botafogo-SP;Botafogo SP;1524;;;;
Slovan Liberec;Slovan Liberec;1525;;;;
České Budějovice;ÄeskÃ© BudÄjovice;1526;;;;
Hradec Králové;Hradec KrÃ¡lovÃ©;1527;;;;
Sigma Olomouc;Sigma Olomouc;1528;;;;
FC Fastav Zlín;ZlÃ­n;1529;;;;
Zbrojovka Brno;Zbrojovka Brno;1530;;;;
Bohemians 1905;Bohemians 1905;1531;;;;
FK Baumit Jablonec;Jablonec;1532;;;;
FC Minaj;Minai;1533;;;;
Kolos Kovalivka;Kolos Kovalivka;1534;;;;
FC Oleksandriya;Oleksandria;1535;;;;
Meizhou Hakka;Meizhou Hakka;1536;;;;
Shandong Taishan;Shandong Luneng;1537;;;;
Tianjin Tigers;Tianjin Teda;1538;;;;
Shenzhen FC;Shenzhen;1539;;;;
HK Kópavogs;HK;1540;;;;
Fylkir;Fylkir;1541;;;;
Beijing Guoan;Beijing Guoan;1542;;;;
Changchun Yatai;Changchun Yatai;1543;;;;
Nantong Zhiyun;Nantong Zhiyun;1544;;;;
Qingdao Hainiu;Qingdao Jonoon;1545;;;;
Independiente del Valle;CSD Independiente del Valle;1546;;;;
Aucas;SD Aucas;1547;;;;
Barcelona SC;Barcelona ECU;1548;;;;
Metropolitanos FC;Metropolitanos;1549;;;;
Emelec;CS Emelec;1550;;;;
Guaraní;GuaranÃ­;1551;;;;
Tacuary;Tacuary;1552;;;;
Chengdu Rongcheng;Chengdu Better City FC;1553;;;;
Cangzhou Mighty Lions;Shijiazhuang Ever Bright;1554;;;;
Olimpia Asuncion;Olimpia;1555;;;;
Shelbourne Dublin;Shelbourne;1556;;;;
Cork City;Cork City;1557;;;;
Drogheda United;Drogheda United;1558;;;;
Derry City;Derry City;1559;;;;
Sligo Rovers;Sligo Rovers;1560;;;;
Dundalk;Dundalk;1561;;;;
St Patrick's Athletic;St Patrick's Athl.;1562;;;;
Bohemians Dublin;Bohemians;1563;;;;
Finn Harps;Finn Harps;1564;;;;
Athlone Town;Athlone Town;1565;;;;
Bray Wanderers;Bray Wanderers;1566;;;;
Galway United;Galway United;1567;;;;
Cobh Ramblers;Cobh Ramblers;1568;;;;
UC Dublin;UCD;1569;;;;
Longford Town;Longford Town;1570;;;;
Kerry FC;Kerry;1571;;;;
Waterford United;Waterford;1572;;;;
Wexford Youths;Wexford;1573;;;;
Treaty United;Treaty United;1574;;;;
PIO;PIO;1575;;;;
Los Troncos;Los Troncos;1576;;;;
Saiyans;Saiyans;1577;;;;
Aniquiladores;Aniquiladores;1578;;;;
1K FC;1K FC;1579;;;;
Rayo de Barcelona;Rayo de Barcelona;1580;;;;
Porcinos;Porcinos;1581;;;;
El Barrio;El Barrio;1582;;;;
Jigantes;Jigantes;1583;;;;
Xbuyer;Xbuyer;1584;;;;
Kunisports;Kunisports;1585;;;;
Ultimate Mostoles;Ultimate Mostoles;1586;;;;
La Luz FC;La Luz;1587;;;;
Plaza Colonia;Plaza Colonia;1588;;;;
CA Fénix Montevideo;FÃ©nix;1589;;;;
CA Cerro;Cerro;1590;;;;
Racing Club de Montevideo;Racing URU;1591;;;;
FC Lahti;Lahti;1592;;;;
FC Inter Turku;Inter Turku;1593;;;;
Ilves;Ilves;1594;;;;
Estudiantes de Mérida;Estudiantes MÃ©rida;1595;;;;
Academia Puerto Cabello;Academia Puerto Cabello;1596;;;;
Libertad Asuncion;Libertad;1597;;;;
Monagas SC;Monagas;1598;;;;
Cerro Porteño;Cerro PorteÃ±o;1599;;;;
LDU Quito;LDU Quito;1600;;;;
Oita Trinita;Oita Trinita;1601;;;;
Júbilo Iwata;Jubilo Iwata;1602;;;;
Ventforet Kofu;Ventforet Kofu;1603;;;;
Renofa Yamaguchi;Renofa Yamaguchi;1604;;;;
Fagiano Okayama;Fagiano Okayama;1605;;;;
Thespakusatsu Gunma;ThespaKusatsu Gunma;1606;;;;
Mito Hollyhock;Mito Hollyhock;1607;;;;
Tokyo Verdy;Tokyo Verdy;1608;;;;
Omiya Ardija;Omiya Ardija;1609;;;;
Iwaki FC;Iwaki;1610;;;;
Vegalta Sendai;Vegalta Sendai;1611;;;;
Machida Zelvia;Machida Zelvia;1612;;;;
Zweigen Kanazawa;Zweigen Kanazawa;1613;;;;
Blaublitz Akita;Blaublitz Akita;1614;;;;
Montedio Yamagata;Montedio Yamagata;1615;;;;
Fujieda MYFC;Fujieda MYFC;1616;;;;
Roasso Kumamoto;Roasso Kumamoto;1617;;;;
Tokushima Vortis;Tokushima Vortis;1618;;;;
V-Varen Nagasaki;V-Varen Nagasaki;1619;;;;
JEF United Chiba;JEF United;1620;;;;
Tochigi SC;Tochigi;1621;;;;
Shimizu S-Pulse;Shimizu S-Pulse;1622;;;;
Albirex Niigata;Albirex Niigata;1623;;;;
Vissel Kobe;Vissel Kobe;1624;;;;
Nagoya Grampus Eight;Nagoya Grampus;1625;;;;
Sanfrecce Hiroshima;Sanfrecce Hiroshima;1626;;;;
Urawa Red Diamonds;Urawa Reds;1627;;;;
Gamba Osaka;Gamba Osaka;1628;;;;
Avispa Fukuoka;Avispa Fukuoka;1629;;;;
Kashiwa Reysol;Kashiwa Reysol;1630;;;;
Kawasaki Frontale;Kawasaki Frontale;1631;;;;
Sagan Tosu;Sagan Tosu;1632;;;;
Yokohama F Marinos;Yokohama F. Marinos;1633;;;;
Kashima Antlers;Shonan Bellmare;1634;;;;
FC Tokyo;Tokyo;1635;;;;
Kyoto Purple Sanga;Kyoto Sanga;1636;;;;
Consadole Sapporo;Consadole Sapporo;1637;;;;
Shonan Bellmare;Shonan Bellmare;1638;;;;
Yokohama FC;Yokohama;1639;;;;
Cerezo Osaka;Cerezo Osaka;1640;;;;
SalPa;SalPa;1641;;;;
JJK;JJK;1642;;;;
Gnistan;Gnistan;1643;;;;
Talleres de Córdoba Reserves;Talleres CÃ³rdoba Res.;1644;;;;
HIFK;HIFK;1645;;;;
KäPa;KÃ¤Pa;1646;;;;
Kjelsås;KjelsÃ¥s;1647;;;;
Instituto AC Córdoba Reserves;Instituto Res.;1648;;;;
Ruch Chorzów;Ruch ChorzÃ³w;1649;;;;
Puszcza Niepołomice;Puszcza NiepoÅomice;1650;;;;
Yverdon-Sport;Yverdon Sport;1651;;;;
Lausanne-Sport;Lausanne Sport;1652;;;;
SV Wehen Wiesbaden;Wehen Wiesbaden;1653;;;;
VfL Osnabrück;OsnabrÃ¼ck;1654;;;;
Concarneau;Concarneau;1655;;;;
Elversberg;Elversberg;1656;;;;
FC Seoul;FC Seoul;1657;;;;
Gwangju FC;Gwangju;1658;;;;
Pohang Steelers;Pohang Steelers;1659;;;;
Daejeon Citizen;Daejeon Citizen;1660;;;;
Vilaverdense;Vilaverdense;1661;;;;
Stirling University FC;Stirling University FC;1662;;;;
East Kilbride;East Kilbride;1663;;;;
Bala Town;Bala Town;1664;;;;
Coleraine;Coleraine;1665;;;;
CD Eldense;CD Eldense;1666;;;;
Oxford City;Oxford City;1667;;;;
AFC Fylde;Fylde;1668;;;;
FC Stade Ouchy;Stade Lausanne-Ouchy;1669;;;;
Pendikspor;Pendikspor;1670;;;;
AVS Futebol Sad;AVS;1671;;;;
União Leiria;UniÃ£o de Leiria;1672;;;;
Vaca Diez;Vaca DÃ­ez;1673;;;;
Real Tomayapo;Real Tomayapo;1674;;;;
Aston Villa U21;Aston Villa U21;1675;;;;
Leicester City U21;Leicester City U21;1676;;;;
Nottingham Forest U21;Nottingham Forest U21;1677;;;;
